1V,1V_timestamp,1V5,1V5_timestamp,1V8,1V8_timestamp,5V,5V_timestamp,3V3,3V3_timestamp
2098.0,2023-08-17 10:24:25.415416,408.0,2023-08-17 10:24:25.431430,428.0,2023-08-17 10:24:25.463337,176.0,2023-08-17 10:24:25.479318,506.0,2023-08-17 10:24:25.495392
2090.0,2023-08-17 10:24:25.559233,408.0,2023-08-17 10:24:25.591278,428.0,2023-08-17 10:24:25.607244,174.0,2023-08-17 10:24:25.623167,506.0,2023-08-17 10:24:25.639295
2098.0,2023-08-17 10:24:25.719189,410.0,2023-08-17 10:24:25.735214,428.0,2023-08-17 10:24:25.751109,174.0,2023-08-17 10:24:25.767283,504.0,2023-08-17 10:24:25.783247
2096.0,2023-08-17 10:24:25.863183,408.0,2023-08-17 10:24:25.879076,428.0,2023-08-17 10:24:25.895068,174.0,2023-08-17 10:24:25.910956,500.0,2023-08-17 10:24:25.927028
2092.0,2023-08-17 10:24:26.006937,408.0,2023-08-17 10:24:26.023023,428.0,2023-08-17 10:24:26.038940,174.0,2023-08-17 10:24:26.055179,506.0,2023-08-17 10:24:26.071210
2098.0,2023-08-17 10:24:26.151058,406.0,2023-08-17 10:24:26.167161,428.0,2023-08-17 10:24:26.183128,174.0,2023-08-17 10:24:26.199158,506.0,2023-08-17 10:24:26.231048
2100.0,2023-08-17 10:24:26.295129,408.0,2023-08-17 10:24:26.311121,428.0,2023-08-17 10:24:26.327105,174.0,2023-08-17 10:24:26.358959,506.0,2023-08-17 10:24:26.375034
2094.0,2023-08-17 10:24:26.439074,408.0,2023-08-17 10:24:26.455058,428.0,2023-08-17 10:24:26.486924,176.0,2023-08-17 10:24:26.502948,508.0,2023-08-17 10:24:26.518952
2094.0,2023-08-17 10:24:26.583164,408.0,2023-08-17 10:24:26.599259,428.0,2023-08-17 10:24:26.630882,174.0,2023-08-17 10:24:26.646924,502.0,2023-08-17 10:24:26.662968
2100.0,2023-08-17 10:24:26.727130,408.0,2023-08-17 10:24:26.758981,428.0,2023-08-17 10:24:26.774976,174.0,2023-08-17 10:24:26.791064,504.0,2023-08-17 10:24:26.806879
2096.0,2023-08-17 10:24:26.886696,408.0,2023-08-17 10:24:26.902767,426.0,2023-08-17 10:24:26.918782,174.0,2023-08-17 10:24:26.934835,504.0,2023-08-17 10:24:26.950847
2102.0,2023-08-17 10:24:27.030735,408.0,2023-08-17 10:24:27.046634,428.0,2023-08-17 10:24:27.062771,176.0,2023-08-17 10:24:27.078851,506.0,2023-08-17 10:24:27.094818
2096.0,2023-08-17 10:24:27.174659,408.0,2023-08-17 10:24:27.190647,430.0,2023-08-17 10:24:27.206667,174.0,2023-08-17 10:24:27.222559,502.0,2023-08-17 10:24:27.238704
2100.0,2023-08-17 10:24:27.318893,408.0,2023-08-17 10:24:27.334620,426.0,2023-08-17 10:24:27.350656,174.0,2023-08-17 10:24:27.366654,506.0,2023-08-17 10:24:27.398573
2096.0,2023-08-17 10:24:27.462906,410.0,2023-08-17 10:24:27.478965,428.0,2023-08-17 10:24:27.494684,176.0,2023-08-17 10:24:27.526542,506.0,2023-08-17 10:24:27.542512
2100.0,2023-08-17 10:24:27.606996,408.0,2023-08-17 10:24:27.622764,428.0,2023-08-17 10:24:27.654748,174.0,2023-08-17 10:24:27.670414,506.0,2023-08-17 10:24:27.686490
2102.0,2023-08-17 10:24:27.750648,408.0,2023-08-17 10:24:27.782711,428.0,2023-08-17 10:24:27.798777,176.0,2023-08-17 10:24:27.814689,506.0,2023-08-17 10:24:27.830445
2102.0,2023-08-17 10:24:27.894607,408.0,2023-08-17 10:24:27.926337,428.0,2023-08-17 10:24:27.942716,174.0,2023-08-17 10:24:27.958497,502.0,2023-08-17 10:24:27.974508
2102.0,2023-08-17 10:24:28.054398,408.0,2023-08-17 10:24:28.070424,426.0,2023-08-17 10:24:28.086462,174.0,2023-08-17 10:24:28.102490,508.0,2023-08-17 10:24:28.118665
2102.0,2023-08-17 10:24:28.198285,408.0,2023-08-17 10:24:28.214350,430.0,2023-08-17 10:24:28.230388,174.0,2023-08-17 10:24:28.246458,502.0,2023-08-17 10:24:28.262556
2096.0,2023-08-17 10:24:28.342306,408.0,2023-08-17 10:24:28.358261,426.0,2023-08-17 10:24:28.374415,174.0,2023-08-17 10:24:28.390282,504.0,2023-08-17 10:24:28.422489
2096.0,2023-08-17 10:24:28.486241,408.0,2023-08-17 10:24:28.502192,428.0,2023-08-17 10:24:28.518210,174.0,2023-08-17 10:24:28.534369,506.0,2023-08-17 10:24:28.566353
2098.0,2023-08-17 10:24:28.630598,408.0,2023-08-17 10:24:28.646514,426.0,2023-08-17 10:24:28.662072,174.0,2023-08-17 10:24:28.694145,506.0,2023-08-17 10:24:28.710115
2106.0,2023-08-17 10:24:28.774571,408.0,2023-08-17 10:24:28.790488,428.0,2023-08-17 10:24:28.822064,176.0,2023-08-17 10:24:28.838174,506.0,2023-08-17 10:24:28.854228
2096.0,2023-08-17 10:24:28.918068,408.0,2023-08-17 10:24:28.950164,430.0,2023-08-17 10:24:28.965995,174.0,2023-08-17 10:24:28.982151,506.0,2023-08-17 10:24:28.998082
2102.0,2023-08-17 10:24:29.077996,406.0,2023-08-17 10:24:29.094135,428.0,2023-08-17 10:24:29.110009,174.0,2023-08-17 10:24:29.125946,504.0,2023-08-17 10:24:29.142142
2094.0,2023-08-17 10:24:29.221891,408.0,2023-08-17 10:24:29.238196,428.0,2023-08-17 10:24:29.254143,176.0,2023-08-17 10:24:29.270156,506.0,2023-08-17 10:24:29.286459
2096.0,2023-08-17 10:24:29.365974,406.0,2023-08-17 10:24:29.381871,426.0,2023-08-17 10:24:29.397976,174.0,2023-08-17 10:24:29.414082,504.0,2023-08-17 10:24:29.429897
2102.0,2023-08-17 10:24:29.509874,408.0,2023-08-17 10:24:29.525856,430.0,2023-08-17 10:24:29.541996,174.0,2023-08-17 10:24:29.557984,506.0,2023-08-17 10:24:29.589916
2096.0,2023-08-17 10:24:29.654340,408.0,2023-08-17 10:24:29.670191,428.0,2023-08-17 10:24:29.685844,174.0,2023-08-17 10:24:29.701951,506.0,2023-08-17 10:24:29.733830
2094.0,2023-08-17 10:24:29.798144,408.0,2023-08-17 10:24:29.814175,430.0,2023-08-17 10:24:29.845731,174.0,2023-08-17 10:24:29.861755,502.0,2023-08-17 10:24:29.877753
2106.0,2023-08-17 10:24:29.941669,406.0,2023-08-17 10:24:29.957860,428.0,2023-08-17 10:24:29.989931,174.0,2023-08-17 10:24:30.005863,502.0,2023-08-17 10:24:30.021694
2100.0,2023-08-17 10:24:30.085630,408.0,2023-08-17 10:24:30.117894,428.0,2023-08-17 10:24:30.133934,174.0,2023-08-17 10:24:30.149744,504.0,2023-08-17 10:24:30.165950
2100.0,2023-08-17 10:24:30.245672,408.0,2023-08-17 10:24:30.261656,430.0,2023-08-17 10:24:30.277736,174.0,2023-08-17 10:24:30.293783,500.0,2023-08-17 10:24:30.309878
2096.0,2023-08-17 10:24:30.389556,408.0,2023-08-17 10:24:30.405434,428.0,2023-08-17 10:24:30.421555,176.0,2023-08-17 10:24:30.437554,508.0,2023-08-17 10:24:30.453776
2094.0,2023-08-17 10:24:30.533503,408.0,2023-08-17 10:24:30.549525,428.0,2023-08-17 10:24:30.565417,174.0,2023-08-17 10:24:30.581650,506.0,2023-08-17 10:24:30.597737
2096.0,2023-08-17 10:24:30.677836,408.0,2023-08-17 10:24:30.693438,426.0,2023-08-17 10:24:30.709526,174.0,2023-08-17 10:24:30.725539,506.0,2023-08-17 10:24:30.757385
2100.0,2023-08-17 10:24:30.821702,408.0,2023-08-17 10:24:30.837633,428.0,2023-08-17 10:24:30.853399,174.0,2023-08-17 10:24:30.885348,504.0,2023-08-17 10:24:30.901425
2100.0,2023-08-17 10:24:30.965699,408.0,2023-08-17 10:24:30.981660,430.0,2023-08-17 10:24:31.013487,174.0,2023-08-17 10:24:31.029239,508.0,2023-08-17 10:24:31.045372
2096.0,2023-08-17 10:24:31.109519,408.0,2023-08-17 10:24:31.141519,426.0,2023-08-17 10:24:31.157467,176.0,2023-08-17 10:24:31.173396,506.0,2023-08-17 10:24:31.189292
2096.0,2023-08-17 10:24:31.253524,408.0,2023-08-17 10:24:31.285466,428.0,2023-08-17 10:24:31.301468,174.0,2023-08-17 10:24:31.317430,506.0,2023-08-17 10:24:31.333418
2100.0,2023-08-17 10:24:31.413471,408.0,2023-08-17 10:24:31.429384,428.0,2023-08-17 10:24:31.445091,174.0,2023-08-17 10:24:31.461373,504.0,2023-08-17 10:24:31.477465
